,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015,Alta Floresta D'Oeste,RO,480.6531165311653,554.6682864450128,504.495652173913,519.1420054200541,460.05115089514067
1,1100023,Ariquemes,RO,476.1340965861782,549.811620795107,508.4407874617737,508.0709825145712,448.0963302752294
2,1100031,Cabixi,RO,468.9738461538461,546.2263888888889,493.1958333333333,505.8,445.27777777777777
3,1100049,Cacoal,RO,484.3732587513533,559.5688113782594,518.981171689807,522.3444965716349,471.5001693193363
4,1100056,Cerejeiras,RO,477.0776556776557,556.2851724137931,511.49655172413793,507.7300366300366,459.3103448275862
5,1100064,Colorado do Oeste,RO,483.21469534050175,549.3063333333333,511.32366666666667,515.8250896057348,468.4
6,1100072,Corumbiara,RO,467.5139240506329,537.9614457831326,485.47228915662646,501.51645569620257,454.69879518072287
7,1100080,Costa Marques,RO,460.20055248618786,526.0301020408162,485.25357142857143,487.7773480662983,408.0612244897959
8,1100098,Espigão D'Oeste,RO,481.7690363349131,553.3818181818182,506.91891495601175,522.5650868878357,467.03812316715545
9,1100106,Guajará-Mirim,RO,458.4628516624041,525.47747957993,485.4590431738623,483.0703964194373,405.8693115519253
10,1100114,Jaru,RO,468.27381930184805,545.2020715630885,501.17984934086627,501.70246406570845,423.2768361581921
11,1100122,Ji-Paraná,RO,478.0063025210084,549.5437256430241,509.29524551831645,510.9435854341737,464.23486619901274
12,1100130,Machadinho D'Oeste,RO,474.11462829736206,546.3427601809955,500.68936651583715,507.5676258992806,435.92760180995475
13,1100148,Nova Brasilândia D'Oeste,RO,464.70861423220975,547.4491166077738,500.71978798586576,512.5146067415731,426.43109540636044
14,1100155,Ouro Preto do Oeste,RO,478.30553410553415,549.9178098676293,506.04043321299633,506.9068211068211,462.93622141997594
